model,genre,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,Country,genre,disklavier,Country_09,0.8810796317812137,0.9104039303326376,0.8955017803938669,0.9889589905362776,0.842741935483871,0.9100145137880986,0.7429022082018928,0.6330645161290323,0.683599419448476,0.3186119873817035,0.271505376344086,0.2931785195936139,0.2444794952681388,0.2083333333333333,0.2249637155297532
OaF,Country,genre,disklavier,Country_10,0.8766044187269858,0.9386987748204478,0.9065895953757224,0.991304347826087,0.991304347826087,0.991304347826087,0.782608695652174,0.782608695652174,0.782608695652174,0.6417391304347826,0.6417391304347826,0.6417391304347826,0.5182608695652174,0.5182608695652174,0.5182608695652174
OaF,Folk,genre,disklavier,Folk_01,0.9553547415416062,0.7896936552398738,0.8646609220583225,0.971217105263158,0.9866332497911444,0.9788644840447576,0.765625,0.7777777777777778,0.7716535433070867,0.3601973684210526,0.3659147869674185,0.3630335681723995,0.2763157894736842,0.2807017543859649,0.2784915043514298
OaF,Folk,genre,disklavier,Folk_02,0.9750246548323472,0.6949042347566333,0.8114701959577306,0.9782608695652174,0.9726224783861672,0.9754335260115607,0.7101449275362319,0.7060518731988472,0.708092485549133,0.6768115942028986,0.6729106628242075,0.6748554913294798,0.4739130434782608,0.4711815561959654,0.472543352601156
OaF,Folk,genre,disklavier,Folk_03,0.9512005075859612,0.8207164809834806,0.8811540702320616,0.9664292980671414,0.949050949050949,0.9576612903225806,0.797558494404883,0.7832167832167832,0.7903225806451614,0.745676500508647,0.7322677322677322,0.7389112903225806,0.6266531027466938,0.6153846153846154,0.6209677419354839
OaF,Folk,genre,disklavier,Folk_04,0.9534080793013016,0.8579671549045716,0.9031732374543444,0.8456521739130435,0.9476248477466503,0.8937392303273981,0.6641304347826087,0.7442143727161997,0.7018954623779438,0.6032608695652174,0.6760048721071864,0.6375646180356117,0.4652173913043478,0.5213154689403167,0.491671453187823
OaF,Folk,genre,disklavier,Folk_05,0.9648693350975852,0.9043032532760116,0.9336050444375686,0.9761388286334056,0.907258064516129,0.9404388714733544,0.8524945770065075,0.7923387096774194,0.8213166144200627,0.2928416485900217,0.2721774193548387,0.2821316614420063,0.3101952277657266,0.2883064516129032,0.2988505747126436
OaF,Folk,genre,disklavier,Folk_06,0.8874075300872254,0.8173024367301801,0.8509134701277734,0.6524137931034483,0.5934755332496863,0.621550591327201,0.5186206896551724,0.4717691342534504,0.4940867279894875,0.4731034482758621,0.4303638644918444,0.4507227332457293,0.3737931034482759,0.3400250941028858,0.3561103810775296
OaF,Folk,genre,disklavier,Folk_07,0.8468183733670459,0.9186810674895708,0.8812871748485596,0.9897013388259528,0.9458661417322834,0.9672873678912934,0.7147270854788877,0.6830708661417323,0.6985405133366885,0.831101956745623,0.7942913385826772,0.8122798188223452,0.5849639546858908,0.5590551181102362,0.571716155007549
OaF,Folk,genre,disklavier,Folk_08,0.9638110836978832,0.9231586472585738,0.9430469621665484,0.8261327713382508,0.9775561097256856,0.8954882924043404,0.6575342465753424,0.7780548628428927,0.7127355796687606,0.5869336143308747,0.6945137157107232,0.6362078812107368,0.4836670179135932,0.5723192019950125,0.5242718446601942
OaF,Folk,genre,disklavier,Folk_09,0.953670890045788,0.8847661790699535,0.917927258594602,0.9398148148148148,0.9144144144144144,0.9269406392694064,0.8333333333333334,0.8108108108108109,0.8219178082191781,0.6759259259259259,0.6576576576576577,0.6666666666666667,0.6099537037037037,0.5934684684684685,0.6015981735159817
OaF,Folk,genre,disklavier,Folk_10,0.8681723615078105,0.9352871903965962,0.9004809538613463,0.9744186046511628,0.9088937093275488,0.9405162738496072,0.7372093023255814,0.6876355748373102,0.7115600448933783,0.5395348837209303,0.5032537960954447,0.5207631874298542,0.4325581395348837,0.403470715835141,0.4175084175084175
OaF,Jazz,genre,disklavier,Jazz_01,0.8767027348811149,0.7392446924734993,0.8021273869024734,0.9837067209775968,0.8886844526218951,0.9337844369260512,0.7362525458248472,0.6651333946642134,0.6988883518608022,0.8523421588594705,0.7700091996320148,0.8090865152247463,0.6496945010183299,0.5869365225390984,0.6167230546157564
OaF,Jazz,genre,disklavier,Jazz_02,0.8694333348312587,0.7533779837233753,0.8072558100721826,0.9488084730803178,0.8641479099678456,0.9045014724442576,0.7166813768755517,0.6527331189710611,0.6832141354648718,0.8693733451015004,0.7918006430868167,0.8287757677745057,0.6540158870255958,0.5956591639871383,0.6234749684476231
