model,polyphony,dynamics,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,23,2,random,disklavier,RANDOM_P23_D2,0.1159418267068528,0.0678808661357994,0.0316006779984417,-0.0019942624308769,0.2276599205863551,-0.0947736189047679,-0.1133489308475322,-0.0049136915479677,0.0616686700885554
OaF,24,0,random,disklavier,RANDOM_P24_D0,0.1884892971932906,0.1444274244581462,0.0794866210556692,0.0866587246157584,0.2195026235027387,0.1076106042873422,0.1425106357069719,0.0778651805204598,-0.325800627866906
OaF,24,1,random,disklavier,RANDOM_P24_D1,0.1446509241964856,0.075039406458445,0.0976362514050436,-0.0883097279703823,0.2734355569579902,0.1534962756883397,0.1136107635863466,0.0993777515821667,0.1489735053593112
OaF,24,2,random,disklavier,RANDOM_P24_D2,0.112793347821735,0.0406893143075008,0.0496087581280531,-0.0989563535065734,0.1982923294804051,-0.0636417855244063,0.0059097475033372,0.4811963206600116,0.0422016155306396
Kong,1,0,random,disklavier,RANDOM_P01_D0,-0.3407440252479481,,,0.196495105041157,-0.2213708111648328,0.6075974254452391,0.030835541610208,0.5616888017035482,0.0030889372138435
Kong,1,1,random,disklavier,RANDOM_P01_D1,0.0194828885383816,,,0.1643372627508874,,0.548732981211414,0.0292868893490341,0.5087675955438619,-0.0932158681631708
Kong,1,2,random,disklavier,RANDOM_P01_D2,0.0718650134230586,,,0.2084190624423278,0.1177665922189266,0.2170543498349166,0.1992100953680742,0.331948174091996,0.006795897366509
Kong,2,0,random,disklavier,RANDOM_P02_D0,-0.0345547546101218,0.3010265786128701,0.0167856003190019,0.1273680682500297,0.0582176745109471,0.3382052338901915,0.2019703261308096,0.4266910129463259,0.390561587215235
Kong,2,1,random,disklavier,RANDOM_P02_D1,0.0142420850534155,0.1909860330867648,0.1842936417049617,0.0982124237881367,-0.0264239442596603,0.3874591660667577,0.0432494908203902,0.5657172875164834,-0.0375063311843029
Kong,2,2,random,disklavier,RANDOM_P02_D2,0.0359348093252775,0.8890826176589693,0.1986734852461099,0.0959677228162143,0.1269633852330922,0.0203774665926109,0.0575853254587761,0.2482450183924834,0.2120164433100948
Kong,3,0,random,disklavier,RANDOM_P03_D0,0.0047439877296371,0.2827187780540575,-0.0106069440983143,0.2048065468641971,0.0934094448601318,0.2693541530089722,0.1631435357614732,0.4985872351349955,0.10209372231096
Kong,3,1,random,disklavier,RANDOM_P03_D1,0.0158068156906735,0.4237805564513073,0.1497748553803784,0.0349313264238803,0.0444957801362642,0.3153806156523053,0.1115211556411169,0.4308243632955191,0.1893823528715121
Kong,3,2,random,disklavier,RANDOM_P03_D2,0.0376667754333109,0.152865977213475,0.0545571113648716,0.2768465559841024,0.0914603118572219,0.0983630619799932,0.1357879390785896,0.3375876981494204,0.1742377845231914
Kong,4,0,random,disklavier,RANDOM_P04_D0,-0.0309111180693476,0.2731782294469643,0.0389663977345404,0.1027465172612951,-0.0401184597501775,0.0665040575416483,0.1761407930644806,-0.3415298664780057,0.4661681469876147
